questao_numero,avaliador,modelo_avaliado,tecnica_prompt,fluidez,capacidade,diversidade,complexidade,relevancia,media
4,gpt-oss-120b,qwen/qwen3-32b,template-based,5,5,2,2,5,3.8
9,gpt-oss-120b,qwen/qwen3-32b,template-based,5,5,2,2,5,3.8
1,gpt-oss-120b,groq/compound,zero-shot,5,5,3,3,5,4.2
10,gpt-oss-120b,qwen/qwen3-32b,template-based,5,5,2,2,5,3.8
3,gpt-oss-120b,groq/compound,zero-shot,5,5,2,2,5,3.8
4,gpt-oss-120b,groq/compound,zero-shot,5,5,2,2,5,3.8
5,gpt-oss-120b,groq/compound,zero-shot,5,5,4,4,5,4.6
6,gpt-oss-120b,groq/compound,zero-shot,5,5,2,2,5,3.8
8,gpt-oss-120b,groq/compound,zero-shot,5,5,3,3,5,4.2
9,gpt-oss-120b,groq/compound,zero-shot,5,5,2,2,5,3.8
1,gpt-oss-120b,groq/compound,few-shot,5,5,2,2,5,3.8
7,gpt-oss-120b,groq/compound,zero-shot,5,5,4,4,5,4.6
3,gpt-oss-120b,groq/compound,few-shot,5,5,2,2,5,3.8
10,gpt-oss-120b,groq/compound,zero-shot,5,5,2,2,5,3.8
2,gpt-oss-120b,groq/compound,few-shot,5,5,4,3,5,4.4
7,gpt-oss-120b,groq/compound,few-shot,5,5,2,3,5,4.0
8,gpt-oss-120b,groq/compound,few-shot,5,5,4,4,5,4.6
9,gpt-oss-120b,groq/compound,few-shot,5,5,2,2,5,3.8
5,gpt-oss-120b,groq/compound,few-shot,5,5,2,2,5,3.8
1,gpt-oss-120b,groq/compound,chain-of-thought,5,5,4,4,5,4.6
6,gpt-oss-120b,groq/compound,few-shot,5,5,3,3,5,4.2
10,gpt-oss-120b,groq/compound,few-shot,5,5,3,4,5,4.4
5,gpt-oss-120b,groq/compound,chain-of-thought,5,5,4,4,5,4.6
6,gpt-oss-120b,groq/compound,chain-of-thought,5,5,4,4,5,4.6
3,gpt-oss-120b,groq/compound,chain-of-thought,5,5,4,4,5,4.6
8,gpt-oss-120b,groq/compound,chain-of-thought,5,5,3,3,5,4.2
9,gpt-oss-120b,groq/compound,chain-of-thought,5,5,4,3,5,4.4
7,gpt-oss-120b,groq/compound,chain-of-thought,5,5,3,3,5,4.2
1,gpt-oss-120b,groq/compound,exemplar-guided,5,5,4,3,5,4.4
3,gpt-oss-120b,groq/compound,exemplar-guided,5,5,4,3,5,4.4
4,gpt-oss-120b,groq/compound,exemplar-guided,5,5,4,4,5,4.6
6,gpt-oss-120b,groq/compound,exemplar-guided,5,5,3,3,5,4.2
7,gpt-oss-120b,groq/compound,exemplar-guided,4,5,3,3,5,4.0
8,gpt-oss-120b,groq/compound,exemplar-guided,5,5,2,3,5,4.0
9,gpt-oss-120b,groq/compound,exemplar-guided,5,1,1,2,1,2.0
10,gpt-oss-120b,groq/compound,exemplar-guided,5,5,2,2,5,3.8
1,gpt-oss-120b,groq/compound,template-based,5,5,2,2,5,3.8
3,gpt-oss-120b,groq/compound,template-based,5,5,2,2,5,3.8
5,gpt-oss-120b,groq/compound,template-based,5,5,4,4,5,4.6
2,gpt-oss-120b,groq/compound,template-based,5,5,4,3,5,4.4
8,gpt-oss-120b,groq/compound,template-based,5,5,2,2,5,3.8
4,gpt-oss-120b,groq/compound,template-based,5,5,2,3,5,4.0
10,gpt-oss-120b,groq/compound,template-based,5,5,4,3,5,4.4
1,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,2,2,5,3.8
2,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,2,3,5,4.0
3,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,2,2,5,3.8
7,gpt-oss-120b,groq/compound,template-based,5,5,2,3,5,4.0
4,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
9,gpt-oss-120b,groq/compound,template-based,5,5,3,3,5,4.2
7,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,2,3,5,4.0
8,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,2,2,5,3.8
6,gpt-oss-120b,groq/compound,template-based,5,5,4,3,5,4.4
9,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,2,2,5,3.8
6,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,2,2,5,3.8
2,qwen3-32b,openai/gpt-oss-120b,few-shot,5,5,2,3,5,4.0
10,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,2,2,5,3.8
5,qwen3-32b,openai/gpt-oss-120b,zero-shot,5,5,3,3,5,4.2
3,qwen3-32b,openai/gpt-oss-120b,few-shot,5,5,1,2,5,3.6
6,qwen3-32b,openai/gpt-oss-120b,few-shot,5,5,2,3,5,4.0
1,qwen3-32b,openai/gpt-oss-120b,few-shot,5,5,2,2,5,3.8
7,qwen3-32b,openai/gpt-oss-120b,few-shot,5,5,2,2,5,3.8
5,qwen3-32b,openai/gpt-oss-120b,few-shot,5,5,2,2,5,3.8
9,qwen3-32b,openai/gpt-oss-120b,few-shot,5,5,2,3,5,4.0
8,qwen3-32b,openai/gpt-oss-120b,few-shot,5,5,2,2,5,3.8
3,qwen3-32b,openai/gpt-oss-120b,chain-of-thought,5,5,2,2,5,3.8
1,qwen3-32b,openai/gpt-oss-120b,chain-of-thought,5,5,2,4,5,4.2
5,qwen3-32b,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
2,qwen3-32b,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
6,qwen3-32b,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
4,qwen3-32b,openai/gpt-oss-120b,chain-of-thought,5,5,3,4,5,4.4
9,qwen3-32b,openai/gpt-oss-120b,chain-of-thought,5,5,2,3,5,4.0
1,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,5,1,2,5,3.6
2,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,3,3,1,2,5,2.8
3,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,5,1,3,5,3.8
4,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,5,1,1,5,3.4
10,qwen3-32b,openai/gpt-oss-120b,chain-of-thought,5,5,2,3,5,4.0
5,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,3,1,2,5,3.2
7,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,5,1,2,5,3.6
6,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,5,1,2,5,3.6
10,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,5,1,2,5,3.6
9,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,5,1,2,5,3.6
8,qwen3-32b,openai/gpt-oss-120b,exemplar-guided,5,5,2,3,5,4.0
1,qwen3-32b,openai/gpt-oss-120b,template-based,5,5,1,3,5,3.8
2,qwen3-32b,openai/gpt-oss-120b,template-based,5,5,2,3,5,4.0
4,qwen3-32b,openai/gpt-oss-120b,template-based,5,5,2,3,5,4.0
7,qwen3-32b,openai/gpt-oss-120b,template-based,5,5,2,3,5,4.0
8,qwen3-32b,openai/gpt-oss-120b,template-based,5,5,2,3,5,4.0
3,qwen3-32b,openai/gpt-oss-120b,template-based,5,5,3,3,5,4.2
10,qwen3-32b,openai/gpt-oss-120b,template-based,5,5,2,3,5,4.0
1,qwen3-32b,groq/compound,zero-shot,5,5,3,4,5,4.4
2,qwen3-32b,groq/compound,zero-shot,5,5,5,5,5,5.0
4,qwen3-32b,groq/compound,zero-shot,5,5,3,4,5,4.4
5,qwen3-32b,groq/compound,zero-shot,5,5,4,4,5,4.6
9,qwen3-32b,openai/gpt-oss-120b,template-based,5,5,3,4,5,4.4
6,qwen3-32b,groq/compound,zero-shot,5,5,2,3,5,4.0
3,qwen3-32b,groq/compound,zero-shot,5,5,1,2,5,3.6
10,qwen3-32b,groq/compound,zero-shot,5,5,3,4,5,4.4
7,qwen3-32b,groq/compound,zero-shot,5,5,3,4,5,4.4
2,qwen3-32b,groq/compound,few-shot,5,5,4,4,5,4.6
3,qwen3-32b,groq/compound,few-shot,5,5,3,4,5,4.4
4,qwen3-32b,groq/compound,few-shot,5,5,4,5,5,4.8
1,qwen3-32b,groq/compound,few-shot,5,5,2,3,5,4.0
7,qwen3-32b,groq/compound,few-shot,5,5,2,4,5,4.2
8,qwen3-32b,groq/compound,few-shot,5,5,3,4,5,4.4
5,qwen3-32b,groq/compound,few-shot,5,5,3,3,5,4.2
6,qwen3-32b,groq/compound,few-shot,5,5,3,4,5,4.4
9,qwen3-32b,groq/compound,few-shot,5,5,2,3,5,4.0
10,qwen3-32b,groq/compound,few-shot,5,5,2,4,5,4.2
1,qwen3-32b,groq/compound,chain-of-thought,5,5,4,4,5,4.6
3,qwen3-32b,groq/compound,chain-of-thought,5,5,4,5,5,4.8
6,qwen3-32b,groq/compound,chain-of-thought,5,5,5,5,5,5.0
5,qwen3-32b,groq/compound,chain-of-thought,5,5,3,4,5,4.4
8,qwen3-32b,groq/compound,chain-of-thought,5,5,3,4,5,4.4
9,qwen3-32b,groq/compound,chain-of-thought,5,5,3,4,5,4.4
1,qwen3-32b,groq/compound,exemplar-guided,5,5,5,5,5,5.0
2,qwen3-32b,groq/compound,exemplar-guided,5,5,3,4,5,4.4
7,qwen3-32b,groq/compound,chain-of-thought,5,5,3,4,5,4.4
4,qwen3-32b,groq/compound,exemplar-guided,5,5,5,5,5,5.0
6,qwen3-32b,groq/compound,exemplar-guided,5,5,4,4,5,4.6
7,qwen3-32b,groq/compound,exemplar-guided,5,5,3,4,5,4.4
8,qwen3-32b,groq/compound,exemplar-guided,5,5,3,4,5,4.4
9,qwen3-32b,groq/compound,exemplar-guided,5,5,3,4,5,4.4
10,qwen3-32b,groq/compound,exemplar-guided,5,5,3,4,5,4.4
1,qwen3-32b,groq/compound,template-based,5,5,3,3,5,4.2
3,qwen3-32b,groq/compound,template-based,5,5,3,3,5,4.2
4,qwen3-32b,groq/compound,template-based,5,5,3,3,5,4.2
7,qwen3-32b,groq/compound,template-based,5,5,3,4,5,4.4
8,qwen3-32b,groq/compound,template-based,5,5,5,4,5,4.8
9,qwen3-32b,groq/compound,template-based,5,5,3,3,5,4.2
2,qwen3-32b,groq/compound,template-based,5,5,5,4,5,4.8
1,compound,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
2,compound,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
10,qwen3-32b,groq/compound,template-based,5,5,5,5,5,5.0
4,compound,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
6,qwen3-32b,groq/compound,template-based,5,5,3,4,5,4.4
5,compound,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
6,compound,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
8,compound,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
10,compound,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
9,compound,openai/gpt-oss-120b,zero-shot,5,5,1,2,5,3.6
3,compound,openai/gpt-oss-120b,few-shot,5,5,1,1,5,3.4
1,compound,openai/gpt-oss-120b,few-shot,5,5,2,3,5,4.0
5,compound,openai/gpt-oss-120b,few-shot,5,5,1,1,5,3.4
6,compound,openai/gpt-oss-120b,few-shot,5,5,1,2,5,3.6
7,compound,openai/gpt-oss-120b,few-shot,5,5,1,2,5,3.6
10,compound,openai/gpt-oss-120b,few-shot,5,5,1,2,5,3.6
1,compound,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
9,compound,openai/gpt-oss-120b,few-shot,5,5,2,2,5,3.8
2,compound,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
6,compound,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
5,compound,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
9,compound,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
4,compound,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
7,compound,openai/gpt-oss-120b,chain-of-thought,5,5,2,3,5,4.0
2,compound,openai/gpt-oss-120b,exemplar-guided,5,5,1,1,5,3.4
10,compound,openai/gpt-oss-120b,chain-of-thought,5,5,1,2,5,3.6
5,compound,openai/gpt-oss-120b,exemplar-guided,5,5,1,1,5,3.4
6,compound,openai/gpt-oss-120b,exemplar-guided,5,5,1,1,5,3.4
7,compound,openai/gpt-oss-120b,exemplar-guided,5,5,1,2,5,3.6
9,compound,openai/gpt-oss-120b,exemplar-guided,5,5,1,2,5,3.6
8,compound,openai/gpt-oss-120b,exemplar-guided,5,5,1,2,5,3.6
3,compound,openai/gpt-oss-120b,exemplar-guided,5,5,1,1,5,3.4
3,compound,openai/gpt-oss-120b,template-based,5,5,1,2,5,3.6
4,compound,openai/gpt-oss-120b,template-based,5,5,1,2,5,3.6
5,compound,openai/gpt-oss-120b,template-based,5,5,1,2,5,3.6
2,compound,openai/gpt-oss-120b,template-based,5,5,1,2,5,3.6
9,compound,openai/gpt-oss-120b,template-based,5,5,3,4,5,4.4
10,compound,openai/gpt-oss-120b,template-based,5,5,1,2,5,3.6
8,compound,openai/gpt-oss-120b,template-based,5,5,1,2,5,3.6
7,compound,openai/gpt-oss-120b,template-based,5,5,1,2,5,3.6
4,compound,qwen/qwen3-32b,zero-shot,5,5,4,4,5,4.6
1,compound,qwen/qwen3-32b,zero-shot,4,5,3,4,5,4.2
6,compound,qwen/qwen3-32b,zero-shot,5,5,3,4,5,4.4
9,compound,qwen/qwen3-32b,zero-shot,5,5,3,4,5,4.4
5,compound,qwen/qwen3-32b,zero-shot,4,5,4,4,5,4.4
1,compound,qwen/qwen3-32b,few-shot,4,5,3,4,5,4.2
8,compound,qwen/qwen3-32b,zero-shot,5,5,3,4,5,4.4
3,compound,qwen/qwen3-32b,few-shot,5,5,4,4,5,4.6
6,compound,qwen/qwen3-32b,few-shot,4,5,3,4,5,4.2
4,compound,qwen/qwen3-32b,few-shot,5,5,3,4,5,4.4
7,compound,qwen/qwen3-32b,few-shot,5,5,3,4,5,4.4
10,compound,qwen/qwen3-32b,few-shot,5,5,4,4,5,4.6
8,compound,qwen/qwen3-32b,few-shot,5,5,4,4,5,4.6
